Test name	Status	Total time	Alive time	Dead time	

Folder: MONITORING\LIEBHER\
1. Link M5 to Surya	Host is alive	04.15.32	04.15.32	00.00.00	
10. Link Liebherr Office To Surya	Host is alive	04.10.08	04.10.08	00.00.00	
2. Link Surya to M5	Host is alive	04.15.32	04.15.32	00.00.00	
3. Link Surya to New AB	Host is alive	04.15.32	04.15.32	00.00.00	
4. Link New AB to Surya	Host is alive	04.15.32	04.15.32	00.00.00	
5. Link New AB to Farnorth	Host is alive	04.15.32	04.15.32	00.00.00	
6. Link Farnorth to New AB	Host is alive	04.10.06	04.10.06	00.00.00	
7. Farnorth to Mega Shop	Host is alive	04.30.05	04.30.05	00.00.00	
8. Mega Shop to Farnorth	No answer	04.31.02	00.00.00	04.31.02	
9. Link Surya To Liebherr Office	Host is alive	04.10.08	04.10.08	00.00.00	

