Test name	Status	Total time	Alive time	Dead time	

Folder: MONITORING\KPC\
02. Switch KPC LBTT	Host is alive	1 day 00:01:08	23:35:44	00:25:24	
04. Exalt KPC Pelangi Camp	Host is alive	1 day 00:00:44	1 day 00:00:44	00:00:00	
11. ALU M5                      Oncall Telco SGT	Host is alive	1 day 00:00:44	1 day 00:00:44	00:00:00	
12. ALU SURYA              Oncall Telco SGT	Host is alive	1 day 00:00:44	1 day 00:00:44	00:00:00	
13. ALU BINTANG          Oncall Telco SGT	Host is alive	23:50:07	23:50:07	00:00:00	
14. ALU AB                      Oncall Telco SGT	Host is alive	1 day 00:00:46	1 day 00:00:46	00:00:00	
15. ALU HATARI             Oncall Telco SGT	Host is alive	1 day 00:00:44	1 day 00:00:44	00:00:00	
16. ALU PTH                    Oncall Telco SGT	Host is alive	1 day 00:00:45	1 day 00:00:45	00:00:00	
17. ALU P11                    Oncall Telco SGT	Host is alive	1 day 00:00:46	1 day 00:00:46	00:00:00	
18. ALU FNORTH            Oncall Telco SGT	Host is alive	1 day 00:00:46	1 day 00:00:46	00:00:00	
19. ALU 15000                 Oncall Telco BGL	Host is alive	1 day 00:00:47	1 day 00:00:47	00:00:00	
20. ALU LubukTutung     Oncall Telco BGL	Host is alive	1 day 00:01:53	23:25:58	00:35:55	
21. Link TBTS Inul Middle	Host is alive	1 day 00:00:45	1 day 00:00:45	00:00:00	
22. Link TBTS Galaxy	Host is alive	1 day 00:00:44	1 day 00:00:44	00:00:00	
23. Link TBTS Lignite	Host is alive	1 day 00:00:44	1 day 00:00:44	00:00:00	
24. ALU PTH to LBTT   Oncall Telco SGT	Host is alive	23:57:38	22:50:55	01:06:42	
25. ALU Bintang to AB   Oncall Telco SGT	Host is alive	1 day 00:00:46	1 day 00:00:46	00:00:00	
Genset CH 15000	Host is alive	23:59:47	23:59:47	00:00:00	

