Test name	Status	Total time	Alive time	Dead time	

Folder: MONITORING\LIEBHER\
1. Link M5 to Surya	Host is alive	23.55.40	23.55.40	00.00.00	
2. Link Surya to M5	Host is alive	23.55.40	23.55.40	00.00.00	
3. Link Surya to New AB	Host is alive	23.55.38	23.55.38	00.00.00	
4. Link New AB to Surya	Host is alive	23.55.39	23.55.39	00.00.00	
5. Link New AB to Farnorth	Host is alive	23.55.39	23.55.39	00.00.00	
6. Link Farnorth to New AB	Host is alive	23.50.37	23.50.37	00.00.00	
7. Farnorth to Mega Shop	Host is alive	23.30.24	23.30.24	00.00.00	
8. Mega Shop to Farnorth	No answer	1 day 00.04.56	01.30.01	22.34.54	
9. Link Liebherr Office To Surya	Host is alive	23.50.37	23.50.37	00.00.00	
9. Link Surya To Liebherr Office	Host is alive	23.50.37	23.50.37	00.00.00	

