Test name	Status	Total time	Alive time	Dead time	

Folder: MONITORING\LIEBHER\
1. Link M5 to Surya	Host is alive	06.25.28	06.25.28	00.00.00	
2. Link Surya to M5	Host is alive	06.25.28	06.25.28	00.00.00	
3. Link Surya to New AB	Host is alive	06.25.28	06.25.28	00.00.00	
4. Link New AB to Surya	Host is alive	06.25.28	06.25.28	00.00.00	
5. Link New AB to Farnorth	Host is alive	06.25.31	06.25.31	00.00.00	
6. Link Farnorth to New AB	Host is alive	06.30.28	06.30.28	00.00.00	
7. Farnorth to Mega Shop	Host is alive	07.00.03	07.00.03	00.00.00	
8. Mega Shop to Farnorth	No answer	07.01.19	00.00.00	07.01.19	
9. Link Liebherr Office To Surya	Host is alive	06.30.29	06.30.29	00.00.00	
9. Link Surya To Liebherr Office	Host is alive	06.30.29	06.30.29	00.00.00	

