Test name	Status	Total time	Alive time	Dead time	

Folder: MONITORING\LIEBHER\
1. Link M5 to Surya	Host is alive	1 day 00.00.47	1 day 00.00.47	00.00.00	
10. Link Liebherr Office To Surya	Host is alive	1 day 00.00.42	1 day 00.00.42	00.00.00	
2. Link Surya to M5	Host is alive	1 day 00.00.47	1 day 00.00.47	00.00.00	
3. Link Surya to New AB	Host is alive	1 day 00.00.47	1 day 00.00.47	00.00.00	
4. Link New AB to Surya	Host is alive	1 day 00.00.47	1 day 00.00.47	00.00.00	
5. Link New AB to Farnorth	Host is alive	1 day 00.00.47	1 day 00.00.47	00.00.00	
6. Link Farnorth to New AB	Host is alive	1 day 00.00.46	1 day 00.00.46	00.00.00	
7. Farnorth to Mega Shop	Host is alive	1 day 00.00.37	1 day 00.00.37	00.00.00	
8. Mega Shop to Farnorth	No answer	1 day 00.04.58	02.00.03	22.04.54	
9. Link Surya To Liebherr Office	Host is alive	1 day 00.00.42	1 day 00.00.42	00.00.00	

