Test name	Status	Total time	Alive time	Dead time	

Folder: MONITORING\KPC\
02. Switch KPC LBTT	Host is alive	23:56:19	23:51:14	00:05:04	
04. Exalt KPC Pelangi Camp	Host is alive	23:56:19	23:51:14	00:05:04	
11. ALU M5                      Oncall Telco SGT	Host is alive	23:56:19	23:56:19	00:00:00	
12. ALU SURYA              Oncall Telco SGT	Host is alive	23:56:19	23:56:19	00:00:00	
13. ALU BINTANG          Oncall Telco SGT	Host is alive	23:40:52	23:40:52	00:00:00	
14. ALU AB                      Oncall Telco SGT	Host is alive	23:56:19	23:56:19	00:00:00	
15. ALU HATARI             Oncall Telco SGT	Host is alive	23:56:19	23:56:19	00:00:00	
16. ALU PTH                    Oncall Telco SGT	Host is alive	23:56:19	23:56:19	00:00:00	
17. ALU P11                    Oncall Telco SGT	Host is alive	23:56:19	23:56:19	00:00:00	
18. ALU FNORTH            Oncall Telco SGT	Host is alive	23:56:19	23:56:19	00:00:00	
19. ALU 15000                 Oncall Telco BGL	Host is alive	23:56:21	23:51:13	00:05:07	
20. ALU LubukTutung     Oncall Telco BGL	Host is alive	23:56:21	23:51:13	00:05:07	
21. Link TBTS Inul Middle	Host is alive	23:56:19	23:56:19	00:00:00	
22. Link TBTS Galaxy	Host is alive	23:56:19	23:56:19	00:00:00	
23. Link TBTS Lignite	Host is alive	23:56:19	23:56:19	00:00:00	
24. ALU PTH to LBTT   Oncall Telco SGT	Host is alive	23:56:21	23:51:13	00:05:07	
25. ALU Bintang to AB   Oncall Telco SGT	Host is alive	23:56:21	23:56:21	00:00:00	
Genset CH 15000	Host is alive	23:58:43	23:54:10	00:04:32	

