Test name	Status	Total time	Alive time	Dead time	

Folder: MONITORING\LIEBHER\
1. Link M5 to Surya	Host is alive	23.57.35	23.57.35	00.00.00	
2. Link Surya to M5	Host is alive	23.57.33	23.57.33	00.00.00	
3. Link Surya to New AB	Host is alive	23.57.32	23.57.32	00.00.00	
4. Link New AB to Surya	Host is alive	23.57.32	23.57.32	00.00.00	
5. Link New AB to Farnorth	Host is alive	23.57.35	23.57.35	00.00.00	
6. Link Farnorth to New AB	Host is alive	23.52.35	23.52.35	00.00.00	
7. Farnorth to Mega Shop	Host is alive	23.52.58	23.52.58	00.00.00	
8. Mega Shop to Farnorth	No answer	23.45.38	00.00.00	23.45.38	
9. Link Liebherr Office To Surya	Host is alive	23.52.58	23.52.58	00.00.00	
9. Link Surya To Liebherr Office	Host is alive	23.53.00	23.53.00	00.00.00	

