Test name	Status	Reply	Alive %	Dead %	Average reply	

Folder: MONITORING\KPC\
02. Switch KPC LBTT	Host is alive	6 ms	99.65 %	0.35 %	7.0	
04. Exalt KPC Pelangi Camp	Host is alive	11 ms	98.95 %	1.05 %	9.7	
11. ALU M5                      Oncall Telco SGT	Host is alive	4 ms	100.00 %	0.00 %	5.3	
12. ALU SURYA              Oncall Telco SGT	Host is alive	8 ms	100.00 %	0.00 %	8.8	
13. ALU BINTANG          Oncall Telco SGT	Host is alive	13 ms	100.00 %	0.00 %	13	
14. ALU AB                      Oncall Telco SGT	Host is alive	13 ms	100.00 %	0.00 %	13	
15. ALU HATARI             Oncall Telco SGT	Host is alive	11 ms	100.00 %	0.00 %	10	
16. ALU PTH                    Oncall Telco SGT	Host is alive	8 ms	99.65 %	0.35 %	8.7	
17. ALU P11                    Oncall Telco SGT	Host is alive	13 ms	100.00 %	0.00 %	13	
18. ALU FNORTH            Oncall Telco SGT	Host is alive	18 ms	100.00 %	0.00 %	18	
19. ALU 15000                 Oncall Telco BGL	Host is alive	22 ms	100.00 %	0.00 %	22	
21. Link TBTS Inul Middle	Host is alive	8 ms	100.00 %	0.00 %	8.7	
22. Link TBTS Galaxy	Host is alive	9 ms	100.00 %	0.00 %	12	
23. Link TBTS Lignite	Host is alive	7 ms	100.00 %	0.00 %	9.0	
25. ALU Bintang to AB   Oncall Telco SGT	Host is alive	19 ms	100.00 %	0.00 %	19	
Genset CH 15000	Host is alive	10 ms	100.00 %	0.00 %	8.7	

