Test name	Status	Total time	Alive time	Dead time	

Folder: MONITORING\KPC\
02. Switch KPC LBTT	Host is alive	1 day 00:00:56	23:50:46	00:10:09	
03. Exalt KPC Pit A -----!	Host is alive	1 day 00:01:08	23:20:28	00:40:40	
04. Exalt KPC Pelangi Camp	Host is alive	1 day 00:00:27	1 day 00:00:27	00:00:00	
05. Switch KPC 15K	Host is alive	1 day 00:00:44	1 day 00:00:44	00:00:00	
11. ALU M5                      Oncall Telco SGT	Host is alive	1 day 00:00:46	1 day 00:00:46	00:00:00	
12. ALU SURYA              Oncall Telco SGT	Host is alive	1 day 00:00:46	1 day 00:00:46	00:00:00	
13. ALU BINTANG          Oncall Telco SGT	Host is alive	23:50:10	23:50:10	00:00:00	
14. ALU AB                      Oncall Telco SGT	Host is alive	1 day 00:00:51	1 day 00:00:51	00:00:00	
15. ALU HATARI             Oncall Telco SGT	Host is alive	1 day 00:00:47	1 day 00:00:47	00:00:00	
16. ALU PTH                    Oncall Telco SGT	Host is alive	1 day 00:00:47	1 day 00:00:47	00:00:00	
17. ALU P11                    Oncall Telco SGT	Host is alive	1 day 00:00:48	1 day 00:00:48	00:00:00	
18. ALU FNORTH            Oncall Telco SGT	Host is alive	1 day 00:00:51	1 day 00:00:51	00:00:00	
19. ALU 15000                 Oncall Telco BGL	Host is alive	1 day 00:00:50	1 day 00:00:50	00:00:00	
20. ALU LubukTutung     Oncall Telco BGL	Host is alive	1 day 00:02:23	23:05:59	00:56:24	
21. Link TBTS Inul Middle	Host is alive	1 day 00:00:44	1 day 00:00:44	00:00:00	
22. Link TBTS Galaxy	Host is alive	1 day 00:00:44	1 day 00:00:44	00:00:00	
23. Link TBTS Lignite	Host is alive	1 day 00:00:44	1 day 00:00:44	00:00:00	
24. ALU PTH to LBTT   Oncall Telco SGT	Host is alive	1 day 00:02:55	22:45:53	01:17:02	
25. ALU Bintang to AB   Oncall Telco SGT	Host is alive	1 day 00:00:48	1 day 00:00:48	00:00:00	
26. Link Backup Nokia Lignite to Middle	Host is alive	1 day 00:00:44	1 day 00:00:44	00:00:00	
27. Link Backup Nokia Lignite to Middle	Host is alive	1 day 00:00:46	1 day 00:00:46	00:00:00	
Genset CH 15000	Host is alive	23:59:30	23:59:30	00:00:00	

