Test name	Status	Total time	Alive time	Dead time	

Folder: MONITORING\KPC\
01. Node Pit B bengalon	Host is alive	23.57.06	23.36.45	00.20.21	
02. Switch KPC LBTT	Host is alive	23.57.08	23.36.46	00.20.21	
04. Exalt KPC Pelangi Camp	Host is alive	23.56.53	23.46.43	00.10.10	
05. Switch KPC 15K	Host is alive	23.56.54	23.46.44	00.10.10	
10. Link Metro MKN Jakarta-----!	Host is alive	23.57.24	23.57.24	00.00.00	
11. ALU M5                      Oncall Telco SGT	Host is alive	23.57.25	23.57.25	00.00.00	
12. ALU SURYA              Oncall Telco SGT	Host is alive	23.57.25	23.57.25	00.00.00	
13. ALU BINTANG          Oncall Telco SGT	Host is alive	23.57.25	23.57.25	00.00.00	
15. ALU HATARI             Oncall Telco SGT	Host is alive	23.57.25	23.57.25	00.00.00	
16. ALU PTH                    Oncall Telco SGT	Host is alive	23.57.24	23.57.24	00.00.00	
17. ALU P11                    Oncall Telco SGT	Host is alive	23.57.25	23.57.25	00.00.00	
18. ALU FNORTH            Oncall Telco SGT	Host is alive	23.57.23	23.52.04	00.05.19	
19. ALU 15000                 Oncall Telco BGL	Host is alive	23.57.24	23.52.05	00.05.19	
20. ALU LubukTutung     Oncall Telco BGL	Host is alive	23.57.23	23.57.23	00.00.00	
21. Link TBTS Inul Middle	Host is alive	23.57.17	23.57.17	00.00.00	
22. Link TBTS Galaxy ( switch )	Host is alive	23.57.03	23.57.03	00.00.00	
23. Link TBTS Lignite	Host is alive	23.57.17	23.57.17	00.00.00	
26. Link Backup Nokia Lignite to Middle	Host is alive	23.57.22	23.57.22	00.00.00	
27. Link Backup Nokia Middle toLignite	Host is alive	23.57.20	23.57.20	00.00.00	
28. Link NEC AB-to-BIG	Host is alive	23.58.14	23.58.14	00.00.00	
29. Link NEC BINTANG-to-AB	Host is alive	23.58.17	23.58.17	00.00.00	
30. Link NEC AB-to-FN	Host is alive	23.58.18	23.58.18	00.00.00	
31. Link NEC FN-to-AB	Host is alive	23.58.18	23.58.18	00.00.00	
32. Link NEC HT to AB	Host is alive	23.58.21	23.58.21	00.00.00	
33. Link NEC AB to HT	Host is alive	23.58.19	23.58.19	00.00.00	
Genset CH 15000	Host is alive	23.57.21	23.57.21	00.00.00	

