Test name	Status	Total time	Alive time	Dead time	

Folder: MONITORING\KPC\
01. Node Pit B bengalon	Host is alive	23.55.36	23.15.48	00.39.48	
02. Switch KPC LBTT	Host is alive	23.55.40	23.41.12	00.14.28	
04. Exalt KPC Pelangi Camp	Host is alive	23.55.40	23.25.57	00.29.43	
05. Switch KPC 15K	Host is alive	23.55.35	23.41.07	00.14.28	
10. Link Metro MKN Jakarta-----!	Host is alive	23.55.40	23.55.40	00.00.00	
11. ALU M5                      Oncall Telco SGT	Host is alive	23.55.41	23.55.41	00.00.00	
12. ALU SURYA              Oncall Telco SGT	Host is alive	23.55.41	23.55.41	00.00.00	
13. ALU BINTANG          Oncall Telco SGT	Host is alive	23.55.41	23.55.41	00.00.00	
15. ALU HATARI             Oncall Telco SGT	Host is alive	23.55.41	23.55.41	00.00.00	
16. ALU PTH                    Oncall Telco SGT	Host is alive	23.55.41	23.55.41	00.00.00	
17. ALU P11                    Oncall Telco SGT	Host is alive	23.55.41	23.55.41	00.00.00	
18. ALU FNORTH            Oncall Telco SGT	Host is alive	23.55.41	22.54.03	01.01.38	
19. ALU 15000                 Oncall Telco BGL	Host is alive	23.55.40	23.55.40	00.00.00	
20. ALU LubukTutung     Oncall Telco BGL	Host is alive	23.55.40	23.55.40	00.00.00	
21. Link TBTS Inul Middle	Host is alive	23.55.30	23.55.30	00.00.00	
22. Link TBTS Galaxy ( switch )	Host is alive	23.55.42	23.55.42	00.00.00	
23. Link TBTS Lignite	Host is alive	23.55.36	23.55.36	00.00.00	
26. Link Backup Nokia Lignite to Middle	Host is alive	23.55.38	23.47.52	00.07.46	
27. Link Backup Nokia Middle toLignite	Host is alive	23.55.33	23.47.47	00.07.46	
28. Link NEC AB-to-BIG	Host is alive	23.58.11	23.58.11	00.00.00	
29. Link NEC BINTANG-to-AB	Host is alive	23.58.05	23.58.05	00.00.00	
30. Link NEC AB-to-FN	Host is alive	23.58.03	23.58.03	00.00.00	
31. Link NEC FN-to-AB	Host is alive	23.58.01	23.58.01	00.00.00	
32. Link NEC HT to AB	Host is alive	23.58.08	23.58.08	00.00.00	
33. Link NEC AB to HT	Host is alive	23.58.15	23.58.15	00.00.00	
Genset CH 15000	Host is alive	23.55.42	23.45.27	00.10.15	

